date,b0,b1,b2,b3,t1,t2
2021-09-15,0.45489,-1.15161,-29.99991,27.86219,2.12908,2.05887
2021-09-16,0.49375,-1.19373,-30.0,27.84842,2.11603,2.04909
2021-09-17,0.48919,-1.1831,-26.28082,24.12701,2.04152,1.96821
2021-09-20,0.47348,-1.16388,-30.0,27.82066,2.0931,2.03082
2021-09-21,0.47239,-1.16992,-19.373,17.18867,2.01869,1.91287
2021-09-22,0.46276,-1.158,-19.0001,16.85776,2.06952,1.96318
2021-09-23,0.45756,-1.14742,-27.48874,25.38927,2.07964,2.01215
2021-09-24,0.53009,-1.24521,-2.08497,0.38151,2.69169,0.78085
2021-09-27,0.56463,-1.07464,-2.19725,-3.5092,2.64713,0.01427
2021-09-28,0.54746,-1.0716,-2.12449,-2.05297,2.5819,0.02142
2021-09-29,0.52903,-1.04533,-2.16073,-1.88409,2.57876,0.02439
2021-09-30,0.52527,-1.03516,-2.17213,-2.86228,2.56662,0.01704
2021-10-01,0.52673,-1.00856,-2.25224,-4.4146,2.55292,0.01364
2021-10-04,0.55753,-1.03001,-2.32478,-1.30826,2.51724,0.04916
2021-10-05,0.53589,-1.28531,-2.19567,0.48023,2.50898,0.67772
2021-10-06,0.58566,-1.31869,-2.22577,0.46152,2.40638,0.72353
2021-10-07,0.58755,-1.35327,-2.15364,0.4703,2.50487,0.60988
2021-10-08,0.6046,-1.36498,-2.17424,0.46562,2.42627,0.65139
2021-10-11,0.61405,-1.0833,-2.31095,-0.64715,2.39187,0.11792
2021-10-12,0.63642,-1.15026,-2.24192,-0.56449,2.4639,0.10543
2021-10-13,0.58299,-1.13182,-2.06468,-0.60465,2.41753,0.07415
2021-10-14,0.51884,-1.08407,-1.92667,-2.5026,2.42544,0.0173
2021-10-15,0.5027,-1.0884,-1.91092,-1.85522,2.49605,0.01823
2021-10-18,0.44488,-1.22796,-1.52065,0.34246,2.4087,0.50714
2021-10-19,0.4354,-1.22292,-1.50617,0.35739,2.44418,0.45686
2021-10-20,0.46731,-1.215,-1.63743,0.28359,2.32531,0.62857
2021-10-21,0.47104,-1.22962,-1.55346,0.2521,2.40685,0.44528
2021-10-22,0.42138,-1.21477,-1.43494,0.338,2.11716,0.40627
2021-10-25,0.42751,-1.2308,-1.37391,0.34071,2.27785,0.32756
2021-10-26,0.39588,-1.28556,-1.25337,0.58826,2.41643,0.30009
2021-10-27,0.34817,-1.27612,-1.06305,0.66196,2.53093,0.29354
2021-10-28,0.2421,-1.05179,-1.16562,0.40418,2.21306,0.44
2021-10-29,0.27248,-1.08385,-1.23134,0.43421,1.92279,0.44522
2021-11-01,0.25836,-1.09515,-1.15147,0.47679,1.92094,0.44576
2021-11-02,0.28001,-1.1305,-1.36483,0.5092,2.02051,0.46167
2021-11-03,0.2606,-1.18236,-1.26143,0.61221,2.22744,0.416
2021-11-04,0.3104,-1.19799,-1.33696,0.42657,2.31779,0.58764
2021-11-05,0.28073,-1.14991,-1.49725,0.40265,2.36451,0.69989
2021-11-08,0.25259,-1.18557,-1.3289,0.50556,2.4783,0.48924
2021-11-09,0.24926,-1.26475,-1.12663,0.64852,2.59389,0.43582
2021-11-10,0.18414,-1.19398,-1.09855,0.58127,2.51541,0.4164
2021-11-11,0.2124,-1.31141,-0.78579,0.74959,2.69453,0.31972
2021-11-12,0.20684,-1.39264,-0.6291,0.93915,2.77542,0.31094
2021-11-15,0.19265,-1.39294,-0.76034,0.98755,2.74884,0.3328
2021-11-16,0.24699,-1.49,-0.64902,1.10366,2.85727,0.36001
2021-11-17,0.26014,-1.55497,-0.64025,1.15873,2.91383,0.35524
2021-11-18,0.23154,-1.52076,-0.48449,1.19,3.1129,0.33297
2021-11-19,0.14409,-1.50185,-0.35962,1.37962,3.30654,0.30933
2021-11-22,0.16415,-1.59214,-0.24544,1.65666,3.60508,0.31491
2021-11-23,0.2028,-1.63556,-0.34806,1.68124,3.04932,0.31873
2021-11-24,0.25894,-1.69267,-0.44356,1.50051,3.01106,0.32532
2021-11-25,0.25306,-1.53465,-0.68776,1.08924,2.78911,0.3449
2021-11-26,0.18835,-1.40579,-0.79543,1.00194,2.89612,0.3599
2021-11-29,0.19809,-1.40399,-0.82944,1.02943,2.90942,0.37075
2021-11-30,0.11358,-1.23206,-1.10152,0.89864,2.50931,0.41027
2021-12-01,0.07577,-1.22765,-0.83201,0.98221,2.45279,0.39213
2021-12-02,0.07612,-1.2286,-0.70348,0.97305,2.89247,0.4153
2021-12-03,0.05694,-1.14255,-0.87794,0.81137,2.66351,0.45202
2021-12-06,0.04559,-1.12207,-0.8163,0.81331,2.73145,0.41098
2021-12-07,0.03215,-1.03589,-0.99523,0.69432,2.46024,0.53247
